    0.6287    0.2513    0.1508    0.4426         0         0
    0.6287    0.7540    0.1508    0.4426         0         0
    0.6287    1.2566    0.1508    0.4426         0         0
    1.0722    1.7537    0.2369    0.0885         0         0
    1.1368    1.9409    0.3662    0.2656         0         0
    2.9456    1.5907    0.1184    0.2034         0         0
    3.2698    0.9042    0.0890    0.1627         0         0
    0.6287   -0.2513    0.1508    0.4426         0         0
    0.6287   -0.7540    0.1508    0.4426         0         0
    0.6287   -1.2566    0.1508    0.4426         0         0
    1.0722   -1.7537    0.2369    0.0885         0         0
    1.1368   -1.9409    0.3662    0.2656         0         0
    2.9456   -1.5907    0.1184    0.2034         0         0
    3.2698   -0.9042    0.0790    0.1627         0         0
    2.4500    0.6000    0.0500    0.1000         0         0
    2.4500   -0.6000    0.0500    0.1000         0         0
