    1.2955         0   90.0000
    1.2955    0.2440   90.0000
    1.2955    0.4345   90.0000
    1.2955    0.6990   90.0000
    1.2940    0.9230   87.7076
    1.3737    1.1319   42.4086
    1.6551    1.2042   -2.8985
    1.8996    1.1441  -21.9695
    2.0820    1.0464  -30.4414
    2.1962    0.9691  -38.8978
    2.3239    0.8513  -45.7499
    2.4286    0.7280  -53.8582
    2.5122    0.5971  -61.6801
    2.6015    0.3909  -71.1624
    2.6466    0.2105  -80.7545
    2.6640         0  -90.0000
    1.2955   -0.2480   90.0000
    1.2955   -0.4280   90.0000
    1.2955   -0.6950   90.0000
    1.3008   -0.9235   93.1529
    1.3798   -1.1257  137.8625
    1.6556   -1.1997 -176.0204
    1.8980   -1.1629 -158.5711
    2.0808   -1.0453 -149.9932
    2.1950   -0.9669 -140.6670
    2.3216   -0.8483 -132.8986
    2.4253   -0.7258 -126.7133
    2.5083   -0.5958 -120.0267
    2.5999   -0.3902 -108.5509
    2.6456   -0.2107 -100.3920
    1.4647    1.0421  168.7010
    1.5650    1.0543 -148.7402
    1.8829    1.0368  103.0000
    1.9355    0.9359  135.6100
    1.4647   -1.0421   11.2990
    1.5650   -1.0543  -31.2598
    1.8829   -1.0368   76.9991
    1.9355   -0.9359   44.3900
