    2.7286    0.0833    0.0080    0.1666         0   93.7430
    2.7069    0.2485    0.0082    0.1638         0  101.1910
    2.6640    0.4094    0.0084    0.1582         0  108.6386
    2.6007    0.5635    0.0089    0.1499         0  116.0864
    2.5178    0.7080    0.0096    0.1391         0  123.5341
    2.4170    0.8406    0.0106    0.1260         0  130.9933
    2.2997    0.9589    0.1250    0.0107  138.4682         0
    2.1681    1.0610    0.1383    0.0097  145.9158         0
    2.0244    1.1452    0.1492    0.0089  153.3635         0
    1.8708    1.2095    0.1580    0.0084  161.2467         0
    1.7090    1.2454    0.1657    0.0080  173.7235         0
    1.5435    1.2439    0.1653    0.0081 -172.6638         0
    1.3902    1.1907    0.1414    0.0093 -148.9728         0
    1.2814    1.0750    0.0090    0.1463         0 -117.4900
    1.2402    0.9186    0.0080    0.1666         0  -92.1899
    1.2370    0.7517    0.0080    0.1671         0   90.0000
    1.2370    0.5847    0.0080    0.1671         0   90.0000
    1.2370    0.4176    0.0080    0.1671         0   90.0000
    1.2370    0.2506    0.0080    0.1671         0   90.0000
    1.2370    0.0835    0.0080    0.1671         0   90.0000
    1.2370   -0.0835    0.0080    0.1671         0   90.0000
    1.2370   -0.2506    0.0080    0.1671         0   90.0000
    1.2370   -0.4176    0.0080    0.1671         0   90.0000
    1.2370   -0.5847    0.0080    0.1671         0   90.0000
    1.2370   -0.7517    0.0080    0.1671         0   90.0000
    1.2402   -0.9186    0.0080    0.1666         0  -87.8101
    1.2814   -1.0750    0.0090    0.1463         0  -62.5100
    1.3902   -1.1907    0.1414    0.0093  -31.0272         0
    1.5435   -1.2439    0.1653    0.0081   -7.3362         0
    1.7090   -1.2454    0.1657    0.0080    6.2765         0
    1.8708   -1.2095    0.1580    0.0084   18.7533         0
    2.0244   -1.1452    0.1492    0.0089   26.6365         0
    2.1681   -1.0610    0.1383    0.0097   34.0842         0
    2.2997   -0.9589    0.1250    0.0107   41.5318         0
    2.4170   -0.8406    0.0106    0.1260         0   49.0067
    2.5178   -0.7080    0.0096    0.1391         0   56.4659
    2.6007   -0.5635    0.0089    0.1499         0   63.9136
    2.6640   -0.4094    0.0084    0.1582         0   71.3614
    2.7069   -0.2485    0.0082    0.1638         0   78.8090
    2.7286   -0.0833    0.0080    0.1666         0   86.2570
    2.8440    0.0892    0.0080    0.1784         0   93.8216
    2.8204    0.2661    0.0082    0.1753         0  101.3979
    2.7737    0.4383    0.0085    0.1691         0  108.9740
    2.7046    0.6028    0.0089    0.1599         0  116.5858
    2.6143    0.7567    0.0097    0.1479         0  124.1932
    2.5045    0.8974    0.0107    0.1334         0  131.7694
    2.3771    1.0223    0.1357    0.0105  139.3499         0
    2.2343    1.1292    0.1500    0.0095  146.9888         0
    2.0786    1.2164    0.1615    0.0089  154.5650         0
    1.9127    1.2820    0.1703    0.0084  162.2383         0
    1.7389    1.3197    0.1774    0.0081  173.3389         0
    1.5637    1.3165    0.1729    0.0081 -171.1371         0
    1.3995    1.2605    0.1555    0.0091 -151.2840         0
    1.2722    1.1444    0.0097    0.1469         0 -124.0208
    1.2108    0.9829    0.0081    0.1762         0  -97.6185
    1.1990    0.8053    0.0080    0.1790         0   90.0000
    1.1990    0.6264    0.0080    0.1790         0   90.0000
    1.1990    0.4474    0.0080    0.1790         0   90.0000
    1.1990    0.2684    0.0080    0.1790         0   90.0000
    1.1990    0.0895    0.0080    0.1790         0   90.0000
    1.1990   -0.0895    0.0080    0.1790         0   90.0000
    1.1990   -0.2684    0.0080    0.1790         0   90.0000
    1.1990   -0.4474    0.0080    0.1790         0   90.0000
    1.1990   -0.6264    0.0080    0.1790         0   90.0000
    1.1990   -0.8053    0.0080    0.1790         0   90.0000
    1.2108   -0.9829    0.0081    0.1762         0  -82.3815
    1.2722   -1.1444    0.0097    0.1469         0  -55.9792
    1.3995   -1.2605    0.1555    0.0091  -28.7160         0
    1.5637   -1.3165    0.1729    0.0081   -8.8629         0
    1.7389   -1.3197    0.1774    0.0081    6.6611         0
    1.9127   -1.2820    0.1703    0.0084   17.7617         0
    2.0786   -1.2164    0.1615    0.0089   25.4350         0
    2.2343   -1.1292    0.1500    0.0095   33.0112         0
    2.3771   -1.0223    0.1357    0.0105   40.6501         0
    2.5045   -0.8974    0.0107    0.1334         0   48.2306
    2.6143   -0.7567    0.0097    0.1479         0   55.8068
    2.7046   -0.6028    0.0089    0.1599         0   63.4142
    2.7737   -0.4383    0.0085    0.1691         0   71.0260
    2.8204   -0.2661    0.0082    0.1753         0   78.6021
    2.8440   -0.0892    0.0080    0.1784         0   86.1784
